timestamp,open,high,low,close,volume
2025-10-01 00:00:00,4142.75,4145.14,4141.46,4144.27,2537.604
2025-10-01 00:01:00,4144.28,4148.62,4144.28,4148.13,2840.669
2025-10-01 00:02:00,4148.13,4148.35,4146.6,4147.91,1948.139
2025-10-01 00:03:00,4147.9,4149.08,4146.21,4146.21,2024.947
2025-10-01 00:04:00,4146.2,4149.09,4145.76,4149.09,1144.532
2025-10-01 00:05:00,4149.09,4149.84,4148.37,4148.37,1620.427
2025-10-01 00:06:00,4148.35,4150.0,4147.0,4149.86,1876.599
2025-10-01 00:07:00,4149.86,4149.87,4146.59,4146.59,1443.543
2025-10-01 00:08:00,4146.59,4147.36,4145.87,4146.76,666.96
2025-10-01 00:09:00,4146.76,4146.85,4145.76,4146.84,601.044
2025-10-01 00:10:00,4146.85,4147.0,4145.1,4145.1,704.496
2025-10-01 00:11:00,4145.11,4146.8,4143.96,4143.96,1115.658
2025-10-01 00:12:00,4143.96,4145.88,4143.96,4145.63,702.389
2025-10-01 00:13:00,4145.64,4145.64,4141.52,4142.78,2024.855
2025-10-01 00:14:00,4142.78,4143.68,4141.4,4143.68,1339.201
2025-10-01 00:15:00,4143.67,4144.98,4141.39,4142.0,1359.222
2025-10-01 00:16:00,4142.0,4142.24,4139.92,4141.04,1256.212
2025-10-01 00:17:00,4141.04,4142.69,4138.08,4138.08,1889.246
2025-10-01 00:18:00,4138.08,4140.0,4138.08,4139.78,1141.759
2025-10-01 00:19:00,4139.78,4142.69,4139.14,4142.68,1495.299
2025-10-01 00:20:00,4142.68,4143.33,4140.74,4141.24,884.348
2025-10-01 00:21:00,4141.24,4141.24,4138.17,4138.46,858.509
2025-10-01 00:22:00,4138.45,4138.64,4136.66,4136.99,1166.792
2025-10-01 00:23:00,4136.99,4137.0,4133.33,4136.87,2748.379
2025-10-01 00:24:00,4136.88,4136.96,4133.93,4135.38,1203.577
2025-10-01 00:25:00,4135.38,4137.25,4135.38,4135.95,1337.827
2025-10-01 00:26:00,4135.95,4137.5,4132.73,4132.73,1016.146
2025-10-01 00:27:00,4132.73,4135.71,4132.73,4135.71,706.774
2025-10-01 00:28:00,4135.72,4136.0,4135.08,4135.7,993.745
2025-10-01 00:29:00,4135.7,4135.83,4128.47,4130.61,3924.174
2025-10-01 00:30:00,4130.6,4132.18,4130.09,4130.33,1360.247
2025-10-01 00:31:00,4130.33,4133.91,4126.73,4133.9,4816.986
2025-10-01 00:32:00,4133.91,4135.54,4132.89,4134.35,1218.412
2025-10-01 00:33:00,4134.36,4136.36,4133.15,4135.55,1366.429
2025-10-01 00:34:00,4135.56,4139.36,4135.56,4138.73,1515.932
2025-10-01 00:35:00,4138.72,4139.36,4136.55,4137.27,1182.339
2025-10-01 00:36:00,4137.28,4137.54,4132.42,4133.0,667.197
2025-10-01 00:37:00,4132.99,4133.88,4130.65,4130.66,1091.634
2025-10-01 00:38:00,4130.65,4132.17,4130.26,4132.17,341.758
